2024-04-18 18:35:28 WARNING Certificate did not match expected hostname: api.wandb.ai. Certificate: {'subject': ((('countryName', 'US'),), (('stateOrProvinceName', 'Pennsylvania'),), (('organizationName', 'Carnegie Mellon University'),), (('commonName', 'captiveportal.wireless.cmu.edu'),)), 'issuer': ((('countryName', 'US'),), (('organizationName', 'Internet2'),), (('commonName', 'InCommon RSA Server CA 2'),)), 'version': 3, 'serialNumber': '441FC541C0E71759769D22F479AA3D', 'notBefore': 'Oct  5 00:00:00 2023 GMT', 'notAfter': 'Oct  4 23:59:59 2024 GMT', 'subjectAltName': (('DNS', 'captiveportal.wireless.cmu.edu'),), 'OCSP': ('http://ocsp.sectigo.com',), 'caIssuers': ('http://crt.sectigo.com/InCommonRSAServerCA2.crt',), 'crlDistributionPoints': ('http://crl.sectigo.com/InCommonRSAServerCA2.crl',)}
2024-04-18 18:35:30 WARNING Certificate did not match expected hostname: api.wandb.ai. Certificate: {'subject': ((('countryName', 'US'),), (('stateOrProvinceName', 'Pennsylvania'),), (('organizationName', 'Carnegie Mellon University'),), (('commonName', 'captiveportal.wireless.cmu.edu'),)), 'issuer': ((('countryName', 'US'),), (('organizationName', 'Internet2'),), (('commonName', 'InCommon RSA Server CA 2'),)), 'version': 3, 'serialNumber': '441FC541C0E71759769D22F479AA3D', 'notBefore': 'Oct  5 00:00:00 2023 GMT', 'notAfter': 'Oct  4 23:59:59 2024 GMT', 'subjectAltName': (('DNS', 'captiveportal.wireless.cmu.edu'),), 'OCSP': ('http://ocsp.sectigo.com',), 'caIssuers': ('http://crt.sectigo.com/InCommonRSAServerCA2.crt',), 'crlDistributionPoints': ('http://crl.sectigo.com/InCommonRSAServerCA2.crl',)}
2024-04-18 18:35:34 WARNING Certificate did not match expected hostname: api.wandb.ai. Certificate: {'subject': ((('countryName', 'US'),), (('stateOrProvinceName', 'Pennsylvania'),), (('organizationName', 'Carnegie Mellon University'),), (('commonName', 'captiveportal.wireless.cmu.edu'),)), 'issuer': ((('countryName', 'US'),), (('organizationName', 'Internet2'),), (('commonName', 'InCommon RSA Server CA 2'),)), 'version': 3, 'serialNumber': '441FC541C0E71759769D22F479AA3D', 'notBefore': 'Oct  5 00:00:00 2023 GMT', 'notAfter': 'Oct  4 23:59:59 2024 GMT', 'subjectAltName': (('DNS', 'captiveportal.wireless.cmu.edu'),), 'OCSP': ('http://ocsp.sectigo.com',), 'caIssuers': ('http://crt.sectigo.com/InCommonRSAServerCA2.crt',), 'crlDistributionPoints': ('http://crl.sectigo.com/InCommonRSAServerCA2.crl',)}
2024-04-18 18:35:43 WARNING Certificate did not match expected hostname: api.wandb.ai. Certificate: {'subject': ((('countryName', 'US'),), (('stateOrProvinceName', 'Pennsylvania'),), (('organizationName', 'Carnegie Mellon University'),), (('commonName', 'captiveportal.wireless.cmu.edu'),)), 'issuer': ((('countryName', 'US'),), (('organizationName', 'Internet2'),), (('commonName', 'InCommon RSA Server CA 2'),)), 'version': 3, 'serialNumber': '441FC541C0E71759769D22F479AA3D', 'notBefore': 'Oct  5 00:00:00 2023 GMT', 'notAfter': 'Oct  4 23:59:59 2024 GMT', 'subjectAltName': (('DNS', 'captiveportal.wireless.cmu.edu'),), 'OCSP': ('http://ocsp.sectigo.com',), 'caIssuers': ('http://crt.sectigo.com/InCommonRSAServerCA2.crt',), 'crlDistributionPoints': ('http://crl.sectigo.com/InCommonRSAServerCA2.crl',)}
2024-04-18 18:35:45 WARNING Certificate did not match expected hostname: api.wandb.ai. Certificate: {'subject': ((('countryName', 'US'),), (('stateOrProvinceName', 'Pennsylvania'),), (('organizationName', 'Carnegie Mellon University'),), (('commonName', 'captiveportal.wireless.cmu.edu'),)), 'issuer': ((('countryName', 'US'),), (('organizationName', 'Internet2'),), (('commonName', 'InCommon RSA Server CA 2'),)), 'version': 3, 'serialNumber': '441FC541C0E71759769D22F479AA3D', 'notBefore': 'Oct  5 00:00:00 2023 GMT', 'notAfter': 'Oct  4 23:59:59 2024 GMT', 'subjectAltName': (('DNS', 'captiveportal.wireless.cmu.edu'),), 'OCSP': ('http://ocsp.sectigo.com',), 'caIssuers': ('http://crt.sectigo.com/InCommonRSAServerCA2.crt',), 'crlDistributionPoints': ('http://crl.sectigo.com/InCommonRSAServerCA2.crl',)}
2024-04-18 18:35:50 WARNING Certificate did not match expected hostname: api.wandb.ai. Certificate: {'subject': ((('countryName', 'US'),), (('stateOrProvinceName', 'Pennsylvania'),), (('organizationName', 'Carnegie Mellon University'),), (('commonName', 'captiveportal.wireless.cmu.edu'),)), 'issuer': ((('countryName', 'US'),), (('organizationName', 'Internet2'),), (('commonName', 'InCommon RSA Server CA 2'),)), 'version': 3, 'serialNumber': '441FC541C0E71759769D22F479AA3D', 'notBefore': 'Oct  5 00:00:00 2023 GMT', 'notAfter': 'Oct  4 23:59:59 2024 GMT', 'subjectAltName': (('DNS', 'captiveportal.wireless.cmu.edu'),), 'OCSP': ('http://ocsp.sectigo.com',), 'caIssuers': ('http://crt.sectigo.com/InCommonRSAServerCA2.crt',), 'crlDistributionPoints': ('http://crl.sectigo.com/InCommonRSAServerCA2.crl',)}
2024-04-18 18:35:59 WARNING Certificate did not match expected hostname: api.wandb.ai. Certificate: {'subject': ((('countryName', 'US'),), (('stateOrProvinceName', 'Pennsylvania'),), (('organizationName', 'Carnegie Mellon University'),), (('commonName', 'captiveportal.wireless.cmu.edu'),)), 'issuer': ((('countryName', 'US'),), (('organizationName', 'Internet2'),), (('commonName', 'InCommon RSA Server CA 2'),)), 'version': 3, 'serialNumber': '441FC541C0E71759769D22F479AA3D', 'notBefore': 'Oct  5 00:00:00 2023 GMT', 'notAfter': 'Oct  4 23:59:59 2024 GMT', 'subjectAltName': (('DNS', 'captiveportal.wireless.cmu.edu'),), 'OCSP': ('http://ocsp.sectigo.com',), 'caIssuers': ('http://crt.sectigo.com/InCommonRSAServerCA2.crt',), 'crlDistributionPoints': ('http://crl.sectigo.com/InCommonRSAServerCA2.crl',)}
2024-04-18 18:36:03 WARNING Certificate did not match expected hostname: api.wandb.ai. Certificate: {'subject': ((('countryName', 'US'),), (('stateOrProvinceName', 'Pennsylvania'),), (('organizationName', 'Carnegie Mellon University'),), (('commonName', 'captiveportal.wireless.cmu.edu'),)), 'issuer': ((('countryName', 'US'),), (('organizationName', 'Internet2'),), (('commonName', 'InCommon RSA Server CA 2'),)), 'version': 3, 'serialNumber': '441FC541C0E71759769D22F479AA3D', 'notBefore': 'Oct  5 00:00:00 2023 GMT', 'notAfter': 'Oct  4 23:59:59 2024 GMT', 'subjectAltName': (('DNS', 'captiveportal.wireless.cmu.edu'),), 'OCSP': ('http://ocsp.sectigo.com',), 'caIssuers': ('http://crt.sectigo.com/InCommonRSAServerCA2.crt',), 'crlDistributionPoints': ('http://crl.sectigo.com/InCommonRSAServerCA2.crl',)}
2024-04-18 18:36:18 WARNING Certificate did not match expected hostname: api.wandb.ai. Certificate: {'subject': ((('countryName', 'US'),), (('stateOrProvinceName', 'Pennsylvania'),), (('organizationName', 'Carnegie Mellon University'),), (('commonName', 'captiveportal.wireless.cmu.edu'),)), 'issuer': ((('countryName', 'US'),), (('organizationName', 'Internet2'),), (('commonName', 'InCommon RSA Server CA 2'),)), 'version': 3, 'serialNumber': '441FC541C0E71759769D22F479AA3D', 'notBefore': 'Oct  5 00:00:00 2023 GMT', 'notAfter': 'Oct  4 23:59:59 2024 GMT', 'subjectAltName': (('DNS', 'captiveportal.wireless.cmu.edu'),), 'OCSP': ('http://ocsp.sectigo.com',), 'caIssuers': ('http://crt.sectigo.com/InCommonRSAServerCA2.crt',), 'crlDistributionPoints': ('http://crl.sectigo.com/InCommonRSAServerCA2.crl',)}
2024-04-18 18:36:39 WARNING Certificate did not match expected hostname: api.wandb.ai. Certificate: {'subject': ((('countryName', 'US'),), (('stateOrProvinceName', 'Pennsylvania'),), (('organizationName', 'Carnegie Mellon University'),), (('commonName', 'captiveportal.wireless.cmu.edu'),)), 'issuer': ((('countryName', 'US'),), (('organizationName', 'Internet2'),), (('commonName', 'InCommon RSA Server CA 2'),)), 'version': 3, 'serialNumber': '441FC541C0E71759769D22F479AA3D', 'notBefore': 'Oct  5 00:00:00 2023 GMT', 'notAfter': 'Oct  4 23:59:59 2024 GMT', 'subjectAltName': (('DNS', 'captiveportal.wireless.cmu.edu'),), 'OCSP': ('http://ocsp.sectigo.com',), 'caIssuers': ('http://crt.sectigo.com/InCommonRSAServerCA2.crt',), 'crlDistributionPoints': ('http://crl.sectigo.com/InCommonRSAServerCA2.crl',)}
2024-04-18 18:36:53 WARNING Certificate did not match expected hostname: api.wandb.ai. Certificate: {'subject': ((('countryName', 'US'),), (('stateOrProvinceName', 'Pennsylvania'),), (('organizationName', 'Carnegie Mellon University'),), (('commonName', 'captiveportal.wireless.cmu.edu'),)), 'issuer': ((('countryName', 'US'),), (('organizationName', 'Internet2'),), (('commonName', 'InCommon RSA Server CA 2'),)), 'version': 3, 'serialNumber': '441FC541C0E71759769D22F479AA3D', 'notBefore': 'Oct  5 00:00:00 2023 GMT', 'notAfter': 'Oct  4 23:59:59 2024 GMT', 'subjectAltName': (('DNS', 'captiveportal.wireless.cmu.edu'),), 'OCSP': ('http://ocsp.sectigo.com',), 'caIssuers': ('http://crt.sectigo.com/InCommonRSAServerCA2.crt',), 'crlDistributionPoints': ('http://crl.sectigo.com/InCommonRSAServerCA2.crl',)}
