/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:249: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, act, adv, logp_old = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'),torch.tensor(data['act'],dtype=torch.float,device='cuda:0'), torch.tensor(data['adv'],dtype=torch.float,device='cuda:0'), torch.tensor(data['logp'],dtype=torch.float,device='cuda:0')
/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:269: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, ret = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'), torch.tensor(data['ret'],dtype=torch.float,device='cuda:0')
0 873.1113272123209 0.092 -17.742 0.0 tensor(-1.6618)
1 950.6391425440848 0.02 -16.808 0.0 tensor(-1.3156)
2 756.9878983016115 0.517 -15.686 -0.004 tensor(-3.3197)
3 799.2664223498592 0.073 -16.587 -0.004 tensor(-0.8171)
4 957.6355126071551 0.196 -39.656 -0.001 tensor(-0.9777)
5 848.8922357525931 0.112 -36.926 -0.004 tensor(-0.9714)

6 990.7311945631121 0.29 -42.94 -0.006 tensor(0.7765)
7 678.533544484462 0.066 -44.879 -0.003 tensor(-0.3569)
8 611.7000785437624 0.439 -35.189 -0.004 tensor(0.1258)
9 1108.9859690467883 0.483 -73.947 -0.012 tensor(0.7726)
10 204.0803268165556 0.124 -79.416 -0.012 tensor(-1.0610)
11 602.3670921155391 0.506 -20.912 -0.015 tensor(-1.9436)
12 427.02524190913664 0.717 -0.323 -0.01 tensor(-1.3489)
13 1047.1361566053151 0.238 -77.388 -0.01 tensor(-1.4776)
14 1336.0634738560684 0.15 -187.832 -0.007 tensor(-3.7594)
15 549.324643184373 0.681 -5.983 -0.011 tensor(-2.6184)
16 1235.129451903848 0.629 -95.104 -0.004 tensor(0.9289)
17 107.6176532515492 0.022 -8.022 -0.01 tensor(-0.9982)
18 175.43073854176043 0.313 -7.991 -0.011 tensor(-0.3932)
19 629.9729645081184 0.43 -74.664 -0.011 tensor(-3.7874)
20 677.0114114796888 0.432 -195.521 -0.011 tensor(2.7560)
21 761.6641232024219 0.612 -172.702 -0.01 tensor(-3.5137)
22 51.85777510243115 0.002 -75.005 -0.009 tensor(1.1033)
23 129.4717997995558 0.059 -2.613 -0.006 tensor(0.8854)
24 -0.02642582698604201 0.496 -12.185 -0.005 tensor(-2.2238)
25 13.383232154472125 0.289 -8.885 -0.005 tensor(-0.0805)
26 1025.832330203383 0.091 -416.754 -0.003 tensor(-3.9231)
27 241.19102113435642 0.409 -9.932 -0.005 tensor(-1.1717)
28 495.8002954422322 0.67 -3.903 -0.007 tensor(-0.8097)
29 459.25641523599006 0.104 -39.091 -0.008 tensor(-2.4256)
30 163.11424166122458 0.052 -53.461 -0.005 tensor(0.0193)
31 890.8298163879148 0.196 -250.365 -0.005 tensor(3.6372)
32 687.5091550271312 0.273 -50.031 -0.008 tensor(-0.3284)
33 476.68059397284594 0.059 -10.259 -0.012 tensor(1.0488)
34 15.235348373685241 0.714 -55.585 -0.006 tensor(1.3159)
35 166.0041117414779 0.1 -12.385 -0.012 tensor(1.9316)
36 57.39893216465579 0.336 -199.481 -0.001 tensor(0.4273)
37 54.31863375833231 0.161 -126.32 -0.01 tensor(-0.0548)
38 290.4726292454143 0.054 -7.962 -0.004 tensor(0.3389)
39 785.0919750698675 0.644 -44.061 -0.011 tensor(0.5506)
40 237.74210164509395 0.295 -8.97 -0.014 tensor(-0.4764)

41 268.95426187047815 0.507 -16.558 -0.012 tensor(1.3433)
42 487.8267744723853 0.008 -210.149 -0.012 tensor(2.3756)
43 318.9842438549583 0.571 -65.412 -0.009 tensor(-1.7550)
44 255.20270091769325 0.619 -1.097 -0.006 tensor(2.4243)
45 1068.4166216480808 0.089 -43.115 -0.01 tensor(2.7262)
46 1304.5769425143862 0.394 -155.166 -0.007 tensor(2.6229)
47 1363.0834599194134 0.029 -172.62 -0.007 tensor(1.0068)
