2024-04-19 17:24:13,863 INFO    MainThread:4527 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-04-19 17:24:13,864 INFO    MainThread:4527 [wandb_setup.py:_flush():76] Configure stats pid to 4527
2024-04-19 17:24:13,864 INFO    MainThread:4527 [wandb_setup.py:_flush():76] Loading settings from /home/yash/.config/wandb/settings
2024-04-19 17:24:13,864 INFO    MainThread:4527 [wandb_setup.py:_flush():76] Loading settings from /home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/wandb/settings
2024-04-19 17:24:13,864 INFO    MainThread:4527 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-19 17:24:13,864 INFO    MainThread:4527 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'scripts/main.py', 'program_abspath': '/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/main.py', 'program': '/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/main.py'}
2024-04-19 17:24:13,864 INFO    MainThread:4527 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-04-19 17:24:13,864 INFO    MainThread:4527 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-04-19 17:24:13,864 INFO    MainThread:4527 [wandb_init.py:_log_setup():526] Logging user logs to /home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/wandb/run-20240419_172413-g2z69348/logs/debug.log
2024-04-19 17:24:13,864 INFO    MainThread:4527 [wandb_init.py:_log_setup():527] Logging internal logs to /home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/wandb/run-20240419_172413-g2z69348/logs/debug-internal.log
2024-04-19 17:24:13,864 INFO    MainThread:4527 [wandb_init.py:init():566] calling init triggers
2024-04-19 17:24:13,864 INFO    MainThread:4527 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.002, 'ent': 0.0001, 'layer size': 256, 'gamma': 0.99, 'lambda': 0.98}
2024-04-19 17:24:13,864 INFO    MainThread:4527 [wandb_init.py:init():616] starting backend
2024-04-19 17:24:13,864 INFO    MainThread:4527 [wandb_init.py:init():620] setting up manager
2024-04-19 17:24:13,874 INFO    MainThread:4527 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-04-19 17:24:13,878 INFO    MainThread:4527 [wandb_init.py:init():628] backend started and connected
2024-04-19 17:24:13,888 INFO    MainThread:4527 [wandb_init.py:init():720] updated telemetry
2024-04-19 17:24:13,951 INFO    MainThread:4527 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-04-19 17:24:14,491 INFO    MainThread:4527 [wandb_init.py:init():796] run resumed
2024-04-19 17:24:14,522 INFO    MainThread:4527 [wandb_run.py:_on_init():2262] communicating current version
2024-04-19 17:24:14,628 INFO    MainThread:4527 [wandb_run.py:_on_init():2271] got version response upgrade_message: "wandb version 0.16.6 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-04-19 17:24:14,629 INFO    MainThread:4527 [wandb_init.py:init():804] starting run threads in backend
2024-04-19 17:24:14,928 INFO    MainThread:4527 [wandb_run.py:_console_start():2241] atexit reg
2024-04-19 17:24:14,928 INFO    MainThread:4527 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-04-19 17:24:14,929 INFO    MainThread:4527 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-04-19 17:24:14,929 INFO    MainThread:4527 [wandb_run.py:_redirect():2186] Redirects installed.
2024-04-19 17:24:14,932 INFO    MainThread:4527 [wandb_init.py:init():847] run started, returning control to user process
