/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:251: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, act, adv, logp_old = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'),torch.tensor(data['act'],dtype=torch.float,device='cuda:0'), torch.tensor(data['adv'],dtype=torch.float,device='cuda:0'), torch.tensor(data['logp'],dtype=torch.float,device='cuda:0')
/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:271: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, ret = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'), torch.tensor(data['ret'],dtype=torch.float,device='cuda:0')
0 268.3244165542992 0.027 -9.326 0.0 tensor(9.6881)
1 299.7332271703525 0.023 -10.897 0.0 tensor(220.1397)
2 305.7355729531928 0.032 -2.472 0.0 tensor(229.3732)
3 313.9018459697163 0.021 -37.149 0.0 tensor(235.6398)
4 304.43960496845614 0.014 -0.688 0.0 tensor(231.6586)
5 290.82857122156145 0.014 -20.393 0.0 tensor(218.8481)
6 280.869289776957 0.018 -1.589 0.0 tensor(208.8221)
7 270.6657928307569 0.015 -8.543 0.0 tensor(199.4967)
8 273.68971133352954 0.028 -0.779 0.0 tensor(200.8236)
9 269.0359832018768 0.018 0.155 0.0 tensor(196.0241)
10 269.01704998017465 0.013 -20.114 0.0 tensor(197.1393)
11 276.9258491002636 0.013 -0.471 0.0 tensor(202.4753)
12 283.4663323817032 0.016 -36.834 0.0 tensor(209.9054)
13 283.57302465446224 0.018 -3.812 0.0 tensor(209.7781)
14 280.71393610137056 0.015 -1.013 0.003 tensor(207.6887)

15 276.45840800773806 0.015 -5.03 0.0 tensor(204.2863)
16 280.5911432537826 0.014 0.906 0.0 tensor(206.3074)
17 287.8123659782641 0.017 -28.759 0.0 tensor(212.8733)
18 286.87725807678544 0.019 2.872 0.0 tensor(211.4045)
19 283.79141051448266 0.015 -10.532 0.0 tensor(209.2072)
20 275.0067144603778 0.008 -4.613 0.0 tensor(200.5969)
21 281.1794331087796 0.016 1.023 0.0 tensor(205.3838)
22 292.5129796959503 0.029 -19.694 0.0 tensor(216.4974)
23 295.7191438176533 0.019 0.112 0.0 tensor(219.3683)
24 296.5291307688475 0.012 -24.143 0.0 tensor(220.9843)
25 282.2379273498478 0.019 -0.838 0.0 tensor(207.9936)
26 273.0320581642685 0.019 -7.946 0.0 tensor(201.0543)
27 281.94125022485116 0.011 4.902 0.0 tensor(205.0717)
28 287.9275173789618 0.022 -10.915 0.0 tensor(209.9728)
29 291.98634208910744 0.018 0.131 0.0 tensor(215.9047)
30 287.1532869321759 0.024 -14.631 0.0 tensor(213.3314)
31 289.9792460870027 0.016 -0.27 0.0 tensor(215.0092)
32 280.7287976141469 0.017 -7.945 0.0 tensor(206.9881)
33 274.431226361186 0.01 -1.787 0.0 tensor(200.4956)
34 284.49554774002536 0.013 -1.771 0.0 tensor(210.5739)
