/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:251: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, act, adv, logp_old = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'),torch.tensor(data['act'],dtype=torch.float,device='cuda:0'), torch.tensor(data['adv'],dtype=torch.float,device='cuda:0'), torch.tensor(data['logp'],dtype=torch.float,device='cuda:0')
/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:271: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, ret = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'), torch.tensor(data['ret'],dtype=torch.float,device='cuda:0')
0 268.3244165542992 0.027 -9.326 0.0 tensor(9.6881)
1 299.7332271703525 0.023 -10.897 0.0 tensor(220.1397)
2 305.73096332740624 0.032 -2.473 0.0 tensor(229.3732)
3 310.8805834906144 0.019 -34.724 0.0 tensor(234.7039)

4 308.30977033420345 0.025 0.095 0.0 tensor(233.9517)
5 296.7202400306104 0.023 -9.519 0.0 tensor(222.8937)
6 282.4323719836251 0.01 -3.881 0.0 tensor(208.4030)
7 276.61979884769266 0.014 -0.284 0.0 tensor(202.7895)
8 270.49567115832707 0.015 -17.468 0.0 tensor(197.2767)
9 261.88196325673164 0.011 -1.729 0.0 tensor(190.9391)
10 264.17326679442476 0.012 0.973 0.0 tensor(190.9268)
11 272.1898912008089 0.019 -17.496 0.0 tensor(199.0291)
12 272.14283677677366 0.013 1.16 0.0 tensor(200.8692)
13 277.3017604923566 0.013 -24.835 0.0 tensor(206.2509)
14 283.76483069787105 0.019 0.019 0.0 tensor(211.6843)
15 286.995565737604 0.023 -22.383 0.0 tensor(215.8753)
16 290.8061484022303 0.016 -0.193 0.001 tensor(219.5620)
17 298.6715576375111 0.024 -24.089 0.0 tensor(224.6316)
18 293.88658215723353 0.013 -0.366 0.0 tensor(223.5740)
19 285.7243227499288 0.014 -20.791 0.0 tensor(215.3445)
20 288.39760883837334 0.025 1.384 0.0 tensor(215.0104)
21 282.0878523754692 0.025 -13.491 0.0 tensor(209.9353)
22 293.9322430643984 0.022 -0.127 0.0 tensor(219.9608)
23 300.1728984361349 0.013 -13.584 0.0 tensor(225.9313)
24 298.5261731944845 0.019 -2.344 0.0 tensor(226.3717)
