/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:249: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, act, adv, logp_old = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'),torch.tensor(data['act'],dtype=torch.float,device='cuda:0'), torch.tensor(data['adv'],dtype=torch.float,device='cuda:0'), torch.tensor(data['logp'],dtype=torch.float,device='cuda:0')
/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:269: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, ret = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'), torch.tensor(data['ret'],dtype=torch.float,device='cuda:0')
0 430.341397486926 0.315 -5.77 0.0
1 171.71132699774796 0.061 -4.142 0.0
2 199.2365931540073 0.073 -6.771 0.0
3 217.44834087236427 0.06 -9.103 0.0
4 232.74535064441156 0.076 -9.857 0.0
5 251.9083551593003 0.074 -9.799 -0.0

6 233.3398415669411 0.044 -8.749 -0.0
7 235.40132986244856 0.056 -9.494 -0.0
8 253.79939363329052 0.115 -10.256 -0.0
9 245.04002022682351 0.056 -9.227 -0.0
10 257.39948316634093 0.05 -10.211 -0.0
11 272.0249443903571 0.034 -10.313 -0.0
12 281.7460864766159 0.162 -10.252 -0.0
13 289.18379114141453 0.083 -10.562 -0.0
14 288.8472967845265 0.086 -9.314 -0.0
15 302.41542959807066 0.217 -8.846 -0.0
16 302.7724329891266 0.082 -6.482 -0.0
17 320.7770242082129 0.02 -7.085 -0.0
18 192.11233343256674 0.037 -4.391 -0.0
19 362.84276758193414 0.129 -2.405 -0.0
20 36.13065780547882 0.111 -2.525 -0.0
21 91.02002866955067 0.074 -2.399 -0.0
22 158.4536651070899 0.19 -2.024 0.002
23 12.51500925767503 0.239 -8.024 -0.0
24 4.105197673584993 0.086 -13.962 -0.0
25 9.062029776655297 0.036 -17.342 -0.0
26 48.2236330329601 0.148 -14.376 -0.0
27 30.294983737298146 0.104 -15.049 -0.0
28 18.586930879271385 0.122 -24.791 -0.0
29 35.44989313144136 0.078 -25.34 -0.0
30 10.190811594704218 0.21 -24.339 -0.0
31 3.0437748563863614 0.069 -23.154 -0.0
32 3.8058835197927747 0.104 -10.529 -0.0
33 3.196264634873687 0.077 -29.068 -0.0
34 2.720507288529253 0.165 -40.881 -0.0
35 1.1048744993118318 0.077 -26.721 -0.001
36 9.90283403136827 0.019 -14.713 0.0
37 29.01013750894203 0.136 -24.877 -0.0
38 2.5326839619862094 0.713 -12.27 -0.0
39 6.276615950862952 0.372 -17.752 -0.0
40 17.976238863893634 0.579 -33.731 -0.0
41 5.52265185126095 0.005 -28.795 -0.0
42 24.276988615141278 0.287 -14.528 -0.0
43 3.8695015083734394 0.273 -17.578 -0.0

44 5.0646959773763855 0.23 -38.953 -0.0
45 9.24840611036495 0.122 -23.894 -0.0
46 1.3827771084135145 0.336 -13.021 -0.0
47 1.2096908923812397 0.107 -10.947 -0.0
48 1.5532487350825632 0.373 -6.487 -0.0
49 2.9477473591778827 0.018 -13.462 -0.0
50 1.4472943048331972 0.238 -16.912 -0.0
51 2.808079846206014 0.33 -6.582 0.0
52 10.40575728476383 0.681 -10.258 -0.0
53 1.450047026159481 0.353 -6.461 -0.0
54 2.407256057103507 0.672 -9.597 -0.0
55 8.744965297317405 0.424 -8.526 -0.0
56 5.284961205435996 0.218 -4.692 -0.0
57 2.900277119374759 0.179 -9.328 -0.0
58 10.342884405157557 0.536 -11.78 -0.0
59 9.900897954741088 0.305 -16.416 -0.0
60 1.4604608227065166 0.408 -3.79 -0.0
61 3.0362129124499724 0.562 -13.012 -0.0
62 22.951042289728626 0.282 -13.57 -0.0

63 1.4546855752511985 0.106 -8.613 -0.0
64 7.063691705756691 0.114 -3.69 -0.0
65 5.836655326270843 0.039 -11.473 -0.0
66 18.92121287229847 0.101 -22.572 -0.0
67 2.8102629053287425 0.146 -5.866 -0.0
68 6.226411991355022 0.095 -3.876 -0.0
69 15.718403413743996 0.142 -6.364 -0.0
70 1.3953749954356218 0.593 -9.356 -0.0
71 3.2389714173963915 0.148 -7.825 -0.0
72 6.547841516629776 0.067 -11.544 -0.0
73 6.13130343470737 0.15 -25.032 -0.0
74 1.3208210537939102 0.259 -2.903 -0.0
75 13.465445860450526 0.0 -24.25 -0.0
76 14.927544319450492 0.107 -16.078 -0.001

77 1.4633848971371097 0.105 -15.182 0.0
78 8.551701864300437 0.085 -16.926 -0.0
79 4.544689976118061 0.298 -4.012 -0.0
80 6.17598899659848 0.212 -6.908 -0.0
81 1.7636219353504416 0.178 -5.436 -0.0
82 2.0880757735494466 0.151 -25.826 -0.0
83 3.2049379050443236 0.34 -9.8 -0.0
84 4.539166689546981 0.152 -5.713 -0.0
85 5.81996990177559 0.517 -0.577 -0.0
86 15.915531681209679 0.551 -11.801 -0.0
87 1.6163605459485013 0.147 -6.843 -0.0
88 4.872110284750228 0.118 -28.46 -0.0
89 13.821598487953441 0.28 -76.406 -0.0
90 8.109128176942752 0.188 -5.639 -0.0
91 5.652793757599141 0.031 -53.328 -0.0
