/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:343: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, act, adv, logp_old = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'),torch.tensor(data['act'],dtype=torch.float,device='cuda:0'), torch.tensor(data['adv'],dtype=torch.float,device='cuda:0'), torch.tensor(data['logp'],dtype=torch.float,device='cuda:0')
/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:363: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, ret = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'), torch.tensor(data['ret'],dtype=torch.float,device='cuda:0')
0 102.01275444409231 0.1 -11.685 0.0
1 39.06645371384821 0.029 -14.749 0.0
2 866.1632597446747 0.042 -17.981 0.0
3 884.543119470987 0.106 -23.679 0.0
4 43.16547282738221 0.183 -28.797 0.0
5 301.2281909953788 0.371 -37.667 0.0
6 18.810675176184905 0.645 -44.167 0.0
7 861.183246163818 0.04 -51.876 0.0
8 883.2833268719271 0.173 -61.056 0.0
9 884.2400030254798 0.268 -67.894 0.0
10 833.2267758956714 0.186 -66.868 0.0
11 839.5988732325446 0.305 -74.649 0.0
12 868.2674270407767 0.243 -82.688 0.0
13 51.088269433094794 0.149 -80.244 0.0
14 867.7471565180647 0.007 -89.22 0.0
15 148.48515444918428 0.333 -82.609 0.0
16 881.2563105682484 0.356 -91.903 0.0
17 856.8554224822761 0.078 -79.192 0.0
18 852.6294101823822 0.437 -70.731 0.0
19 854.8630202597299 0.26 -60.797 0.0
20 136.93532194661503 0.113 -62.419 0.0
21 854.6431890477822 0.012 -38.684 0.0
22 31.457812956212884 0.14 -21.689 0.0
23 865.1696310227221 0.171 -10.073 0.0
24 881.3300136253142 0.16 -9.37 0.0
25 854.7870184774592 0.029 -11.135 0.0
26 887.9769325415654 0.295 -8.198 0.0
27 856.6382926119524 0.191 -8.586 0.0
28 868.3045101947905 0.093 -6.386 0.0
29 118.86384213890334 0.149 -6.037 0.0
30 864.2957792432012 0.288 -4.733 0.0
31 0.7967662810797695 0.31 -5.524 0.0
32 856.0398950195038 0.342 -3.6 0.0
33 499.8300422259368 0.464 -3.793 0.0
34 877.6550783099785 0.124 -2.811 0.0
35 10.814719074929076 0.532 -4.954 0.0
36 850.5614117996225 0.228 -7.979 0.0
37 865.8643671740718 0.05 -1.681 0.0
38 890.279941701762 0.307 -0.959 0.0
39 853.9912234574707 0.049 -4.603 0.0
40 872.5594108625221 0.102 -0.991 0.0
41 887.2160852117013 0.27 -0.831 0.0
42 859.8039295599231 0.154 -0.168 0.0
43 874.536428570044 0.318 -0.146 0.0
44 882.6898048568567 0.093 -3.288 0.0
45 38.84839429290769 0.075 -1.327 0.0
46 870.7132362862537 0.427 -0.103 0.0
47 864.8927915567406 0.375 -2.571 0.0
48 833.8019994875726 0.159 -7.479 0.0
49 869.7405343299863 0.065 -3.967 0.0
50 857.1130800298988 0.12 -7.116 0.0
51 878.5466600487864 0.05 -1.654 0.0
52 877.5089437526822 0.237 -1.508 0.0
53 854.1406080565854 0.14 -3.338 0.0
54 864.0368218957674 0.309 -0.156 0.0
