/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:343: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, act, adv, logp_old = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'),torch.tensor(data['act'],dtype=torch.float,device='cuda:0'), torch.tensor(data['adv'],dtype=torch.float,device='cuda:0'), torch.tensor(data['logp'],dtype=torch.float,device='cuda:0')
/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:363: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, ret = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'), torch.tensor(data['ret'],dtype=torch.float,device='cuda:0')
0 850.3321256234004 0.574 -0.556 0.0
1 868.5360913292644 0.196 -0.572 0.0
2 850.7999525501889 0.144 0.127 0.0
3 1.6833051000025778 0.684 2.723 0.0
4 847.9896879263767 0.074 1.809 0.0
5 864.0722410976867 0.428 -1.406 0.0
6 875.7994742421296 0.125 -0.215 0.0
7 90.0511602368814 0.051 -0.651 0.0
8 848.954075852133 0.061 -1.042 0.0
9 863.3423708451938 0.145 -0.598 0.0
10 213.53709752731103 0.224 -0.96 0.0
11 861.4121535953198 0.05 0.336 0.0
12 118.08022168219622 0.149 -0.82 0.0
13 129.3023553119125 0.273 -0.134 0.0
14 879.7179863176088 0.316 -2.694 0.0
15 22.266873875863475 0.176 -0.894 0.0
16 105.76837113157 0.11 -2.24 0.0
17 901.9750383082512 0.126 -3.061 0.0
18 147.46222787901038 0.089 -3.39 0.0
19 851.7409526430639 0.22 -0.93 0.0
20 865.2116490086237 0.012 -3.86 0.0
21 857.9339979511884 0.244 -1.102 0.0
22 861.1031753827023 0.413 -1.028 0.0
23 877.2315467987069 0.332 -2.142 0.0
24 373.80633854750425 0.468 -1.799 0.0
25 865.023965320668 0.218 -0.066 0.0
26 893.3541498887373 0.081 -0.207 0.0
27 895.9933623213095 0.086 -8.558 0.0
28 864.8517316450028 0.249 2.598 0.0
29 91.28964465908398 0.222 -1.561 0.0
30 858.6628403578934 0.068 -5.0 0.0
31 306.1814363254106 0.082 -1.453 0.0
32 391.51309144764457 0.225 0.442 0.0
33 880.2688544020243 0.087 0.172 0.0
34 881.3402080630125 0.009 -14.526 0.0
35 292.3439685400967 0.16 -1.018 0.0
36 857.8822266303521 0.142 -0.999 0.0
37 893.8535640334975 0.115 -0.116 0.0
38 7.732062583971999 0.207 -1.478 0.0
39 18.283877235483804 0.036 -1.301 0.0
40 876.0581839114701 0.363 -0.901 0.0
41 843.4242585558864 0.179 0.777 0.0
42 66.08311490374692 0.565 3.305 0.0
43 871.7420646128481 0.293 -2.101 0.0
44 868.5902773374239 0.396 -1.159 0.0
45 875.1490541820584 0.293 -3.891 0.0
46 93.68040578983931 0.085 -3.481 0.0
47 132.2435130539227 0.181 2.941 0.0
48 849.5548855452543 0.054 -0.638 0.0
49 878.7874627015874 0.459 -0.792 0.0
50 896.3541842517246 0.268 -2.462 0.0
51 876.1554284022586 0.386 2.809 0.0
52 895.2993943914034 0.18 -3.377 0.0
53 849.4113831522124 0.073 4.281 0.0
54 852.2448333791056 0.368 -1.31 0.0
55 48.767335234321116 0.07 1.271 0.0
56 879.3562552661542 0.28 -2.591 0.0
